"","Entity.A.Type","Entity.A","Entity.B.Type","Entity.B","Connection"
"1536","Organization","HUDSON WATERFRONT I CORPORATION","Organization","HUDSON WATERFRONT ASSOCIATES I, L.P.","Ownership"
"1537","Organization","HUDSON WATERFRONT II CORPORATION","Organization","HUDSON WATERFRONT ASSOCIATES II, L.P.","Ownership"
"1538","Organization","HUDSON WATERFRONT III CORPORATION","Organization","HUDSON WATERFRONT ASSOCIATES III, L.P.","Ownership"
"1539","Organization","HUDSON WATERFRONT IV CORPORATION","Organization","HUDSON WATERFRONT ASSOCIATES IV, L.P.","Ownership"
"1540","Organization","HUDSON WATERFRONT V CORPORATION","Organization","HUDSON WATERFRONT ASSOCIATES V, L.P.","Ownership"
"1541","Organization","HUDSON WESTSIDE ASSOCIATES I, L.P.","Organization","HUDSON WATERFRONT ASSOCIATES I, L.P.","Ownership"
"1542","Organization","HUDSON WESTSIDE ASSOCIATES II, L.P.","Organization","HUDSON WATERFRONT ASSOCIATES II, L.P.","Ownership"
"1543","Organization","HUDSON WESTSIDE ASSOCIATES III, L.P.","Organization","HUDSON WATERFRONT ASSOCIATES III, L.P.","Ownership"
"1544","Organization","HUDSON WESTSIDE ASSOCIATES IV. L.P.","Organization","HUDSON WATERFRONT ASSOCIATES IV, L.P.","Ownership"
"1545","Organization","HUDSON WESTSIDE ASSOCIATES V, L.P.","Organization","HUDSON WATERFRONT ASSOCIATES V, L.P.","Ownership"
"1546","Organization","HUDSON WESTSIDE ASSOCIATES, L.P.","Organization","HUDSON WATERFRONT ASSOCIATES, L.P.","Ownership"
"1548","Organization","HWA 1290 III LLC","Organization","1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON","Ownership"
"1549","Organization","HWA 1290 IV LLC","Organization","1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON","Ownership"
"1550","Organization","HWA 1290 V LLC","Organization","1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON","Ownership"
"1551","Organization","HYDE PARK, LLC","Organization","TRUMP RUFFIN LLC","Ownership"
"1561","Organization","INDITEX","Organization","KUSHNER COMPANIES","Investor"
"1562","Organization","INDITEX","Organization","ZARA","Ownership"
"1572","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT APPAREL II LLC","Ownership"
"1573","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT BABY HOME LLC","Ownership"
"1574","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT EYEWEAR LLC","Ownership"
"1575","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT FASHION JEWELRY LLC","Ownership"
"1576","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT FRAGRANCE LLC","Ownership"
"1577","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT HANDBAGS LLC","Ownership"
"1578","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IT HOME MARKS LLC","Ownership"
"1579","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IVANKA TRUMP MARKS II LLC","Ownership"
"1580","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IVANKA TRUMP MARKS JEWELRY LLC","Ownership"
"1581","Organization","IT OPERATIONS MANAGING MEMBER CORP","Organization","IVANKA TRUMP MARKS LLC","Ownership"
"1582","Organization","IVANKA M. TRUMP BUSINESS TRUST","Organization","IT OPERATIONS MANAGING MEMBER CORP","Ownership"
"1600","Organization","IVANKA TRUMP REVOCABLE TRUST DATED AUGUST 13, 2010","Organization","IVANKA OPO HOTEL MANAGER LLC","Ownership"
"1601","Organization","IVANKA TRUMP REVOCABLE TRUST DATED AUGUST 13, 2010","Organization","IVANKA OPO LLC","Ownership"
"1781","Organization","JUPITER GOLF CLUB MANAGING MEMBER CORP.","Organization","TRUMP NATIONAL GOLF CLUB - JUPITER","Ownership"
"1839","Organization","KOCH INDUSTRIES INC.","Organization","KOCH VENTURE CAPITAL","Ownership"
"1840","Organization","KOCH VENTURE CAPITAL","Organization","THAYER AEROSPACE CONSOLIDATED, INC.","Investor"
"1848","Organization","KUSHNER COMPANIES","Organization","KUSHNER VILLAGE 325 EAST 10TH LLC","Ownership"
"1849","Organization","KUSHNER COMPANIES","Organization","KUSHNER VILLAGE 329 EAST 9TH LLC","Ownership"
"1855","Organization","KUSHNER COMPANIES","Organization","WESTMINSTER CITY LIVING","Ownership"
"1856","Organization","KUSHNER COMPANIES","Organization","WESTMINSTER MANAGEMENT","Ownership"
"1857","Organization","KUSHNER COMPANIES","Organization","WESTMINSTER RESIDENTIAL ACQUISITION LLC","Ownership"
